"DOCUMENTACIÓN","MERCADO MONETARIO. TIPOS DE INTERES MERCADO INTERBANCARIO. EURIBOR. A DOCE MESES."
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","D_1NBAF472"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"ene00",3.949
"feb00",4.111
"mar00",4.267
"abr00",4.365
"may00",4.849
"jun00",4.965
"jul00",5.105
"ago00",5.248
"sep00",5.219
"oct00",5.218
"nov00",5.193
"dic00",4.881
"ene01",4.574
"feb01",4.591
"mar01",4.471
"abr01",4.481
"may01",4.520
"jun01",4.312
"jul01",4.311
"ago01",4.108
"sep01",3.770
"oct01",3.369
"nov01",3.198
"dic01",3.298
"ene02",3.483
"feb02",3.594
"mar02",3.816
"abr02",3.860
"may02",3.963
"jun02",3.869
"jul02",3.645
"ago02",3.440
"sep02",3.236
"oct02",3.126
"nov02",3.017
"dic02",2.873
"ene03",2.705
"feb03",2.504
"mar03",2.411
"abr03",2.447
"may03",2.252
"jun03",2.014
"jul03",2.076
"ago03",2.279
"sep03",2.258
"oct03",2.303
"nov03",2.410
"dic03",2.381
"ene04",2.216
"feb04",2.163
"mar04",2.055
"abr04",2.163
"may04",2.297
"jun04",2.404
"jul04",2.361
"ago04",2.302
"sep04",2.377
"oct04",2.316
"nov04",2.328
"dic04",2.301
"ene05",2.312
"feb05",2.310
"mar05",2.335
"abr05",2.265
"may05",2.193
"jun05",2.103
"jul05",2.168
"ago05",2.223
"sep05",2.219
"oct05",2.414
"nov05",2.684
"dic05",2.783
"ene06",2.833
"feb06",2.914
"mar06",3.105
"abr06",3.221
"may06",3.308
"jun06",3.401
"jul06",3.539
"ago06",3.615
"sep06",3.715
"oct06",3.799
"nov06",3.864
"dic06",3.921
"ene07",4.064
"feb07",4.094
"mar07",4.106
"abr07",4.253
"may07",4.373
"jun07",4.505
"jul07",4.564
"ago07",4.666
"sep07",4.724
"oct07",4.647
"nov07",4.607
"dic07",4.793
"ene08",4.498
"feb08",4.349
"mar08",4.590
"abr08",4.820
"may08",4.994
"jun08",5.361
"jul08",5.393
"ago08",5.323
"sep08",5.384
"oct08",5.248
"nov08",4.350
"dic08",3.452
"ene09",2.622
"feb09",2.135
"mar09",1.909
"abr09",1.771
"may09",1.644
"jun09",1.610
"jul09",1.412
"ago09",1.334
"sep09",1.261
"oct09",1.243
"nov09",1.231
"dic09",1.242
"ene10",1.232
"feb10",1.225
"mar10",1.215
"abr10",1.225
"may10",1.249
"jun10",1.281
"jul10",1.373
"ago10",1.421
"sep10",1.420
"oct10",1.495
"nov10",1.540
"dic10",1.526
"ene11",1.550
"feb11",1.714
"mar11",1.924
"abr11",2.086
"may11",2.147
"jun11",2.144
"jul11",2.183
"ago11",2.097
"sep11",2.067
"oct11",2.110
"nov11",2.044
"dic11",2.004
"ene12",1.837
"feb12",1.678
"mar12",1.499
"abr12",1.368
"may12",1.266
"jun12",1.219
"jul12",1.061
"ago12",0.877
"sep12",0.740
"oct12",0.650
"nov12",0.588
"dic12",0.549
"ene13",0.575
"feb13",0.594
"mar13",0.545
"abr13",0.528
"may13",0.484
"jun13",0.507
"jul13",0.525
"ago13",0.542
"sep13",0.543
"oct13",0.541
"nov13",0.506
"dic13",0.543
"ene14",0.562
"feb14",0.549
"mar14",0.577
"abr14",0.604
"may14",0.592
"jun14",0.513
"jul14",0.488
"ago14",0.469
"sep14",0.362
"oct14",0.338
"nov14",0.335
"dic14",0.329
"ene15",0.298
"feb15",0.255
"mar15",0.212
"abr15",0.180
"may15",0.165
"jun15",0.163
"jul15",0.167
"ago15",0.161
"sep15",0.154
"oct15",0.128
"nov15",0.079
"dic15",0.059
"ene16",0.042
"feb16",-0.008
"mar16",-0.012
"abr16",-0.010
"may16",-0.013
"jun16",-0.028
"jul16",-0.056
"ago16",-0.048
"sep16",-0.057
"oct16",-0.069
"nov16",-0.074
"dic16",-0.080
"ene17",-0.094
"feb17",-0.106
"mar17",-0.110
"abr17",-0.119
"may17",-0.127
"jun17",-0.149
"jul17",-0.154
"ago17",-0.156
"sep17",-0.168
"oct17",-0.180
"nov17",-0.189
"dic17",-0.190
"ene18",-0.189
"feb18",-0.191
"mar18",-0.191
"abr18",-0.190
"may18",-0.188
"jun18",-0.181
"jul18",-0.180
"ago18",-0.169
"sep18",-0.166
"oct18",-0.154
"nov18",-0.147
"dic18",-0.129
"ene19",-0.116
"feb19",-0.108
"mar19",-0.109
"abr19",-0.112
"may19",-0.134
"jun19",-0.190
"jul19",-0.283
"ago19",-0.356
"sep19",-0.339
"oct19",-0.304
"nov19",-0.272
"dic19",-0.261
"ene20",-0.253
"feb20",-0.288
"mar20",-0.266
"abr20",-0.108
"may20",-0.081
"jun20",-0.147
"jul20",-0.279
"ago20",-0.359
"sep20",-0.415
"oct20",-0.466
"nov20",-0.481
"dic20",-0.497
"ene21",-0.505
"feb21",-0.501
"mar21",-0.487
"abr21",-0.484
"may21",-0.481
"jun21",-0.484
"jul21",-0.491
"ago21",-0.498
"sep21",-0.492
"oct21",-0.477
"nov21",-0.487
"dic21",-0.502
"ene22",-0.477
"feb22",-0.335
"mar22",-0.237
"abr22",0.013
"may22",0.287
"jun22",0.852
"jul22",0.992
"ago22",1.249
"sep22",2.233
"oct22",2.629
"nov22",2.828
"dic22",3.018
"ene23",3.337
"feb23",3.534
"mar23",3.647
"abr23",3.757
"may23",3.862
"jun23",4.007
"jul23",4.149
"ago23",4.073
"sep23",4.149
"oct23",4.160
"nov23",4.022
"dic23",3.679
"ene24",3.609
"feb24",3.671
"mar24",3.718
"abr24",3.703
"may24",3.680
"jun24",3.650
"jul24",3.526
"ago24",3.166
"sep24",2.936
"oct24",2.691
"nov24",2.506
"dic24",2.436
"ene25",2.525
"feb25",2.407
"mar25",2.398
"abr25",2.143
"may25",2.081
"jun25",2.081
"jul25",2.079
"ago25",2.114
"sep25",2.172
"oct25",2.187
"nov25",2.217
"dic25",2.267
"ene26",2.245
"feb26",2.221
"mar26","-"
"FUENTE","The European Money Market Institute (EMMI)"
"NOTAS","Further information: https://www.emmi-benchmarks.eu/.Terms of use: https://www.emmi-benchmarks.eu/terms-of-use"
