Comunidades y Ciudades Autónomas;Grupos COICOP 2011;Tipo de dato;Periodo;Total
09 Cataluña;Índice general;Índice;2026M02;101,108
09 Cataluña;Índice general;Índice;2026M01;100,619
09 Cataluña;Índice general;Índice;2025M12;101,019
09 Cataluña;Índice general;Índice;2025M11;100,706
09 Cataluña;Índice general;Índice;2025M10;100,453
09 Cataluña;Índice general;Índice;2025M09;100,021
09 Cataluña;Índice general;Índice;2025M08;100,525
09 Cataluña;Índice general;Índice;2025M07;100,367
09 Cataluña;Índice general;Índice;2025M06;100,466
09 Cataluña;Índice general;Índice;2025M05;99,769
09 Cataluña;Índice general;Índice;2025M04;99,713
09 Cataluña;Índice general;Índice;2025M03;99,122
09 Cataluña;Índice general;Índice;2025M02;99,153
09 Cataluña;Índice general;Índice;2025M01;98,686
09 Cataluña;Índice general;Índice;2024M12;98,539
09 Cataluña;Índice general;Índice;2024M11;98,132
09 Cataluña;Índice general;Índice;2024M10;97,870
09 Cataluña;Índice general;Índice;2024M09;97,444
09 Cataluña;Índice general;Índice;2024M08;98,173
09 Cataluña;Índice general;Índice;2024M07;98,120
09 Cataluña;Índice general;Índice;2024M06;98,473
09 Cataluña;Índice general;Índice;2024M05;97,976
09 Cataluña;Índice general;Índice;2024M04;97,637
09 Cataluña;Índice general;Índice;2024M03;97,034
09 Cataluña;Índice general;Índice;2024M02;96,166
09 Cataluña;Índice general;Índice;2024M01;95,809
09 Cataluña;Índice general;Índice;2023M12;95,726
09 Cataluña;Índice general;Índice;2023M11;95,604
09 Cataluña;Índice general;Índice;2023M10;95,951
09 Cataluña;Índice general;Índice;2023M09;95,830
09 Cataluña;Índice general;Índice;2023M08;95,853
09 Cataluña;Índice general;Índice;2023M07;95,396
09 Cataluña;Índice general;Índice;2023M06;95,093
09 Cataluña;Índice general;Índice;2023M05;94,568
09 Cataluña;Índice general;Índice;2023M04;94,539
09 Cataluña;Índice general;Índice;2023M03;94,100
09 Cataluña;Índice general;Índice;2023M02;93,675
09 Cataluña;Índice general;Índice;2023M01;92,721
09 Cataluña;Índice general;Índice;2022M12;92,777
09 Cataluña;Índice general;Índice;2022M11;92,730
09 Cataluña;Índice general;Índice;2022M10;92,782
09 Cataluña;Índice general;Índice;2022M09;92,706
09 Cataluña;Índice general;Índice;2022M08;93,486
09 Cataluña;Índice general;Índice;2022M07;93,249
09 Cataluña;Índice general;Índice;2022M06;93,340
09 Cataluña;Índice general;Índice;2022M05;91,635
09 Cataluña;Índice general;Índice;2022M04;90,978
09 Cataluña;Índice general;Índice;2022M03;91,289
09 Cataluña;Índice general;Índice;2022M02;88,750
09 Cataluña;Índice general;Índice;2022M01;88,017
09 Cataluña;Índice general;Índice;2021M12;88,180
09 Cataluña;Índice general;Índice;2021M11;87,144
09 Cataluña;Índice general;Índice;2021M10;86,848
09 Cataluña;Índice general;Índice;2021M09;85,415
09 Cataluña;Índice general;Índice;2021M08;84,847
09 Cataluña;Índice general;Índice;2021M07;84,535
09 Cataluña;Índice general;Índice;2021M06;85,068
09 Cataluña;Índice general;Índice;2021M05;84,678
09 Cataluña;Índice general;Índice;2021M04;84,267
09 Cataluña;Índice general;Índice;2021M03;83,376
09 Cataluña;Índice general;Índice;2021M02;82,656
09 Cataluña;Índice general;Índice;2021M01;83,133
09 Cataluña;Índice general;Índice;2020M12;83,072
09 Cataluña;Índice general;Índice;2020M11;82,739
09 Cataluña;Índice general;Índice;2020M10;82,567
09 Cataluña;Índice general;Índice;2020M09;82,360
09 Cataluña;Índice general;Índice;2020M08;82,301
09 Cataluña;Índice general;Índice;2020M07;82,267
09 Cataluña;Índice general;Índice;2020M06;82,913
09 Cataluña;Índice general;Índice;2020M05;82,551
09 Cataluña;Índice general;Índice;2020M04;82,578
09 Cataluña;Índice general;Índice;2020M03;82,336
09 Cataluña;Índice general;Índice;2020M02;82,728
09 Cataluña;Índice general;Índice;2020M01;82,780
09 Cataluña;Índice general;Índice;2019M12;83,612
09 Cataluña;Índice general;Índice;2019M11;83,537
09 Cataluña;Índice general;Índice;2019M10;83,444
09 Cataluña;Índice general;Índice;2019M09;82,754
09 Cataluña;Índice general;Índice;2019M08;82,957
09 Cataluña;Índice general;Índice;2019M07;82,944
09 Cataluña;Índice general;Índice;2019M06;83,392
09 Cataluña;Índice general;Índice;2019M05;83,361
09 Cataluña;Índice general;Índice;2019M04;83,171
09 Cataluña;Índice general;Índice;2019M03;82,325
