año;municipio;barrios de Barcelona;concepto;estado;valor
2015;Barcelona;el Raval;Índice socioeconómico territorial;;74,3
2015;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;98,0
2015;Barcelona;la Barceloneta;Índice socioeconómico territorial;;94,8
2015;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;99,5
2015;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;114,3
2015;Barcelona;la Sagrada Família;Índice socioeconómico territorial;;113,8
2015;Barcelona;la Dreta de l'Eixample;Índice socioeconómico territorial;;124,0
2015;Barcelona;l'Antiga Esquerra de l'Eixample;Índice socioeconómico territorial;;120,7
2015;Barcelona;la Nova Esquerra de l'Eixample;Índice socioeconómico territorial;;117,5
2015;Barcelona;Sant Antoni;Índice socioeconómico territorial;;111,5
2015;Barcelona;el Poble Sec;Índice socioeconómico territorial;;92,8
2015;Barcelona;la Marina del Prat Vermell;Índice socioeconómico territorial;;74,0
2015;Barcelona;la Marina de Port;Índice socioeconómico territorial;;96,1
2015;Barcelona;la Font de la Guatlla;Índice socioeconómico territorial;;107,6
2015;Barcelona;Hostafrancs;Índice socioeconómico territorial;;104,1
2015;Barcelona;la Bordeta;Índice socioeconómico territorial;;107,1
2015;Barcelona;Sants-Badal;Índice socioeconómico territorial;;104,2
2015;Barcelona;Sants;Índice socioeconómico territorial;;109,8
2015;Barcelona;les Corts;Índice socioeconómico territorial;;123,3
2015;Barcelona;la Maternitat i Sant Ramon;Índice socioeconómico territorial;;119,4
2015;Barcelona;Pedralbes;Índice socioeconómico territorial;;132,6
2015;Barcelona;Vallvidrera, el Tibidabo i les Planes;Índice socioeconómico territorial;;120,1
2015;Barcelona;Sarrià;Índice socioeconómico territorial;;131,2
2015;Barcelona;les Tres Torres;Índice socioeconómico territorial;;137,0
2015;Barcelona;Sant Gervasi-la Bonanova;Índice socioeconómico territorial;;130,3
2015;Barcelona;Sant Gervasi-Galvany;Índice socioeconómico territorial;;132,8
2015;Barcelona;el Putxet i el Farró;Índice socioeconómico territorial;;126,8
2015;Barcelona;Vallcarca i els Penitents;Índice socioeconómico territorial;;121,0
2015;Barcelona;el Coll;Índice socioeconómico territorial;;111,2
2015;Barcelona;la Salut;Índice socioeconómico territorial;;120,0
2015;Barcelona;la Vila de Gràcia;Índice socioeconómico territorial;;116,8
2015;Barcelona;el Camp d'en Grassot i Gràcia Nova;Índice socioeconómico territorial;;120,3
2015;Barcelona;el Baix Guinardó;Índice socioeconómico territorial;;114,0
2015;Barcelona;Can Baró;Índice socioeconómico territorial;;107,0
2015;Barcelona;el Guinardó;Índice socioeconómico territorial;;111,0
2015;Barcelona;la Font d'en Fargues;Índice socioeconómico territorial;;119,9
2015;Barcelona;el Carmel;Índice socioeconómico territorial;;93,8
2015;Barcelona;la Teixonera;Índice socioeconómico territorial;;99,7
2015;Barcelona;Sant Genís dels Agudells;Índice socioeconómico territorial;;103,0
2015;Barcelona;Montbau;Índice socioeconómico territorial;;109,8
2015;Barcelona;la Vall d'Hebron;Índice socioeconómico territorial;;117,9
2015;Barcelona;la Clota;Índice socioeconómico territorial;;105,9
2015;Barcelona;Horta;Índice socioeconómico territorial;;107,5
2015;Barcelona;Vilapicina i la Torre Llobeta;Índice socioeconómico territorial;;105,7
2015;Barcelona;Porta;Índice socioeconómico territorial;;99,2
2015;Barcelona;el Turó de la Peira;Índice socioeconómico territorial;;85,6
2015;Barcelona;Can Peguera;Índice socioeconómico territorial;;82,3
2015;Barcelona;la Guineueta;Índice socioeconómico territorial;;106,7
2015;Barcelona;Canyelles;Índice socioeconómico territorial;;99,2
2015;Barcelona;les Roquetes;Índice socioeconómico territorial;;78,9
2015;Barcelona;Verdun;Índice socioeconómico territorial;;86,0
2015;Barcelona;la Prosperitat;Índice socioeconómico territorial;;93,4
2015;Barcelona;la Trinitat Nova;Índice socioeconómico territorial;;75,7
2015;Barcelona;Torre Baró;Índice socioeconómico territorial;;74,3
2015;Barcelona;Ciutat Meridiana;Índice socioeconómico territorial;;67,0
2015;Barcelona;Vallbona;Índice socioeconómico territorial;;77,7
2015;Barcelona;la Trinitat Vella;Índice socioeconómico territorial;;73,1
2015;Barcelona;Baró de Viver;Índice socioeconómico territorial;;75,5
2015;Barcelona;el Bon Pastor;Índice socioeconómico territorial;;90,9
2015;Barcelona;Sant Andreu;Índice socioeconómico territorial;;113,5
2015;Barcelona;la Sagrera;Índice socioeconómico territorial;;107,7
2015;Barcelona;el Congrés i els Indians;Índice socioeconómico territorial;;107,4
2015;Barcelona;Navas;Índice socioeconómico territorial;;108,8
2015;Barcelona;el Camp de l'Arpa del Clot;Índice socioeconómico territorial;;110,5
2015;Barcelona;el Clot;Índice socioeconómico territorial;;110,1
2015;Barcelona;el Parc i la Llacuna del Poblenou;Índice socioeconómico territorial;;111,2
2015;Barcelona;la Vila Olímpica del Poblenou;Índice socioeconómico territorial;;129,3
2015;Barcelona;el Poblenou;Índice socioeconómico territorial;;113,1
2015;Barcelona;Diagonal Mar i el Front Marítim del Poblenou;Índice socioeconómico territorial;;119,0
2015;Barcelona;el Besòs i el Maresme;Índice socioeconómico territorial;;78,4
2015;Barcelona;Provençals del Poblenou;Índice socioeconómico territorial;;107,5
2015;Barcelona;Sant Martí de Provençals;Índice socioeconómico territorial;;104,1
2015;Barcelona;la Verneda i la Pau;Índice socioeconómico territorial;;97,6
2015;Barcelona;total;Índice socioeconómico territorial;;109,0
2016;Barcelona;el Raval;Índice socioeconómico territorial;;74,4
2016;Barcelona;el Barri Gòtic;Índice socioeconómico territorial;;97,2
2016;Barcelona;la Barceloneta;Índice socioeconómico territorial;;95,1
2016;Barcelona;Sant Pere, Santa Caterina i la Ribera;Índice socioeconómico territorial;;99,8
2016;Barcelona;el Fort Pienc;Índice socioeconómico territorial;;113,8
2016;Barcelona;la Sagrada Família;Índice socioeconómico territorial;;113,2
2016;Barcelona;la Dreta de l'Eixample;Índice socioeconómico territorial;;123,9
2016;Barcelona;l'Antiga Esquerra de l'Eixample;Índice socioeconómico territorial;;120,2
2016;Barcelona;la Nova Esquerra de l'Eixample;Índice socioeconómico territorial;;117,3
2016;Barcelona;Sant Antoni;Índice socioeconómico territorial;;111,4
2016;Barcelona;el Poble Sec;Índice socioeconómico territorial;;92,8
2016;Barcelona;la Marina del Prat Vermell;Índice socioeconómico territorial;;74,7
2016;Barcelona;la Marina de Port;Índice socioeconómico territorial;;95,7
2016;Barcelona;la Font de la Guatlla;Índice socioeconómico territorial;;106,9
2016;Barcelona;Hostafrancs;Índice socioeconómico territorial;;103,8
2016;Barcelona;la Bordeta;Índice socioeconómico territorial;;106,8
2016;Barcelona;Sants-Badal;Índice socioeconómico territorial;;103,9
2016;Barcelona;Sants;Índice socioeconómico territorial;;109,6
2016;Barcelona;les Corts;Índice socioeconómico territorial;;123,4
2016;Barcelona;la Maternitat i Sant Ramon;Índice socioeconómico territorial;;119,4
2016;Barcelona;Pedralbes;Índice socioeconómico territorial;;131,7
2016;Barcelona;Vallvidrera, el Tibidabo i les Planes;Índice socioeconómico territorial;;120,6
2016;Barcelona;Sarrià;Índice socioeconómico territorial;;130,5
2016;Barcelona;les Tres Torres;Índice socioeconómico territorial;;137,1
2016;Barcelona;Sant Gervasi-la Bonanova;Índice socioeconómico territorial;;130,0
2016;Barcelona;Sant Gervasi-Galvany;Índice socioeconómico territorial;;132,2
2016;Barcelona;el Putxet i el Farró;Índice socioeconómico territorial;;127,1
2016;Barcelona;Vallcarca i els Penitents;Índice socioeconómico territorial;;120,5
2016;Barcelona;el Coll;Índice socioeconómico territorial;;110,9
2016;Barcelona;la Salut;Índice socioeconómico territorial;;119,7
2016;Barcelona;la Vila de Gràcia;Índice socioeconómico territorial;;116,7
2016;Barcelona;el Camp d'en Grassot i Gràcia Nova;Índice socioeconómico territorial;;119,9
2016;Barcelona;el Baix Guinardó;Índice socioeconómico territorial;;113,6
2016;Barcelona;Can Baró;Índice socioeconómico territorial;;106,8
2016;Barcelona;el Guinardó;Índice socioeconómico territorial;;110,7
2016;Barcelona;la Font d'en Fargues;Índice socioeconómico territorial;;120,4
2016;Barcelona;el Carmel;Índice socioeconómico territorial;;93,9
2016;Barcelona;la Teixonera;Índice socioeconómico territorial;;100,3
2016;Barcelona;Sant Genís dels Agudells;Índice socioeconómico territorial;;102,2
2016;Barcelona;Montbau;Índice socioeconómico territorial;;109,1
2016;Barcelona;la Vall d'Hebron;Índice socioeconómico territorial;;117,9
2016;Barcelona;la Clota;Índice socioeconómico territorial;;107,9
2016;Barcelona;Horta;Índice socioeconómico territorial;;107,1
2016;Barcelona;Vilapicina i la Torre Llobeta;Índice socioeconómico territorial;;105,1
2016;Barcelona;Porta;Índice socioeconómico territorial;;98,8
2016;Barcelona;el Turó de la Peira;Índice socioeconómico territorial;;85,6
2016;Barcelona;Can Peguera;Índice socioeconómico territorial;;81,8
2016;Barcelona;la Guineueta;Índice socioeconómico territorial;;106,6
2016;Barcelona;Canyelles;Índice socioeconómico territorial;;99,3
2016;Barcelona;les Roquetes;Índice socioeconómico territorial;;78,8
2016;Barcelona;Verdun;Índice socioeconómico territorial;;85,9
2016;Barcelona;la Prosperitat;Índice socioeconómico territorial;;93,2
2016;Barcelona;la Trinitat Nova;Índice socioeconómico territorial;;75,7
2016;Barcelona;Torre Baró;Índice socioeconómico territorial;;73,9
2016;Barcelona;Ciutat Meridiana;Índice socioeconómico territorial;;67,3
2016;Barcelona;Vallbona;Índice socioeconómico territorial;;76,6
2016;Barcelona;la Trinitat Vella;Índice socioeconómico territorial;;73,4
2016;Barcelona;Baró de Viver;Índice socioeconómico territorial;;74,7
2016;Barcelona;el Bon Pastor;Índice socioeconómico territorial;;90,4
2016;Barcelona;Sant Andreu;Índice socioeconómico territorial;;113,3
2016;Barcelona;la Sagrera;Índice socioeconómico territorial;;108,2
2016;Barcelona;el Congrés i els Indians;Índice socioeconómico territorial;;107,4
